TransactionID,TransactionDate,TransactionAmount,TransactionType,AccountBalance,AccountID,CustomerAge,CustomerOccupation
1,2024-01-02,74344,credit,131843,1,29,Analyst
2,2024-01-06,-3247,debit,128596,1,29,Analyst
3,2024-01-07,-3247,debit,125349,1,29,Analyst
4,2024-01-08,-3247,debit,122102,1,29,Analyst
5,2024-01-07,-3193,debit,118909,1,29,Analyst
6,2024-01-21,-2232,debit,116677,1,29,Analyst
7,2024-01-07,-4246,debit,112431,1,29,Analyst
8,2024-01-17,-2654,debit,109777,1,29,Analyst
9,2024-01-12,-4834,debit,104943,1,29,Analyst
10,2024-01-26,-3655,debit,101288,1,29,Analyst
11,2024-01-09,-4254,debit,97034,1,29,Analyst
12,2024-01-24,-2959,debit,94075,1,29,Analyst
13,2024-01-22,-1728,debit,92347,1,29,Analyst
14,2024-01-20,-3594,debit,88753,1,29,Analyst
15,2024-01-19,-3604,debit,85149,1,29,Analyst
16,2024-01-13,-1357,debit,83792,1,29,Analyst
17,2024-01-28,-2842,debit,80950,1,29,Analyst
18,2024-01-21,-952,debit,79998,1,29,Analyst
19,2024-01-27,-1580,debit,78418,1,29,Analyst
20,2024-01-08,-4765,debit,73653,1,29,Analyst
21,2024-01-11,-1111,debit,72542,1,29,Analyst
22,2024-01-08,-2405,debit,70137,1,29,Analyst
23,2024-01-21,-1384,debit,68753,1,29,Analyst
24,2024-01-27,-2480,debit,66273,1,29,Analyst
25,2024-01-08,-650,debit,65623,1,29,Analyst
26,2024-01-04,-4519,debit,61104,1,29,Analyst
27,2024-01-22,-2396,debit,58708,1,29,Analyst
28,2024-01-04,-2179,debit,56529,1,29,Analyst
29,2024-01-28,-3895,debit,52634,1,29,Analyst
30,2024-01-26,-1572,debit,51062,1,29,Analyst
31,2024-01-28,-4048,debit,47014,1,29,Analyst
32,2024-01-28,-2847,debit,44167,1,29,Analyst
33,2024-01-04,-421,debit,43746,1,29,Analyst
34,2024-01-14,-1618,debit,42128,1,29,Analyst
